"platform","brand","keyword_matched","text","created_at","date","author","like_count","repost_count","post_uri"
"Bluesky","samsung","samsung","www.samsung-news.com/articles/JYK...","2025-12-31T02:04:26.146Z","2025-12-31 02:04:26.146000+00:00","brooklyn305.bsky.social","0","0","at://did:plc:3idv6xoofqbh3cp74lgf6r25/app.bsky.feed.post/3mbarmouiak2s"
"Bluesky","samsung","samsung","I hate Samsung appliances. What absolute piles of shit","2025-12-31T02:15:33.888Z","2025-12-31 02:15:33.888000+00:00","dolldownthehall.bsky.social","3","0","at://did:plc:z3mitmhdzhwixwvkjkqozexw/app.bsky.feed.post/3mbasalod2s2t"
"Bluesky","samsung","samsung","I been using a Samsung S8+ for years now and It's on it's last legs at this point. I can't even install crucial apps I need anymore on it because it's out of date.","2025-12-31T02:16:45.813Z","2025-12-31 02:16:45.813000+00:00","pantyranger.bsky.social","0","0","at://did:plc:usre3ldm7zalzrfg3im7bfce/app.bsky.feed.post/3mbascqbcd22b"
"Bluesky","samsung","samsung","I've had this phone for five years and every time this notification comes up, I just swipe to dismiss it. Fuck you, Samsung. I will never agree to your new policies.","2025-12-31T02:27:20.486Z","2025-12-31 02:27:20.486000+00:00","spavel.bsky.social","45","1","at://did:plc:o7xt7svg2xtjbb4e2xqahqqc/app.bsky.feed.post/3mbasvnkkq22c"
"Bluesky","samsung","samsung","TOTAL BULL SHIT www.samsung-news.com/articles/cxe...","2025-12-31T02:28:28.929Z","2025-12-31 02:28:28.929000+00:00","hangtight.bsky.social","2","0","at://did:plc:k5nmo3cldizias23xwrq43wo/app.bsky.feed.post/3mbasxossx22x"
"Bluesky","samsung","samsung","Our previous house had a Bosch and it was excellent. Our current house has a Samsung and its been good other than the occasional glitch where it refuses to operate and then we have to cancel the wash cycle and start it again.","2025-12-31T02:38:16.693Z","2025-12-31 02:38:16.693000+00:00","thesaanichdaily.bsky.social","0","0","at://did:plc:e4qglzjpa4pcasim3rpqsicy/app.bsky.feed.post/3mbatj7ducc2e"
"Bluesky","samsung","samsung","US approves Samsung, SK Hynix chipmaking tool shipments to China for 2026: Reuters ground.news/article/us-a...","2025-12-31T02:40:59.240Z","2025-12-31 02:40:59.240000+00:00","lazyliberal71.bsky.social","0","0","at://did:plc:4kturxzzvkcpgbcvd2ro4dzm/app.bsky.feed.post/3mbato2eems23"
"Bluesky","samsung","samsung","How to Fix a U6 Error on your Samsung Washing Machine: Guide","2025-12-31T02:55:43.877Z","2025-12-31 02:55:43.877000+00:00","wikihowtips.bsky.social","0","0","at://did:plc:fnodnafgovc3kzxsiln3i54l/app.bsky.feed.post/3mbauigafti2m"
"Bluesky","samsung","samsung","www.samsung-news.com/articles/Wdv...","2025-12-31T02:56:14.821Z","2025-12-31 02:56:14.821000+00:00","eagleone01.bsky.social","0","0","at://did:plc:ig53s45vmbgdd5ka5kltty73/app.bsky.feed.post/3mbaujdjpoc2i"
"Bluesky","samsung","samsung","I have an LG OLED that's probably 7 years old and it's still going strong. Good TVs I won't buy any Samsung products after a mandatory update bricked my phone and they refused to do anything about it","2025-12-31T02:58:37.940Z","2025-12-31 02:58:37.940000+00:00","dadloop.bsky.social","2","0","at://did:plc:2pwapmv5aopc73qckdrfdb7g/app.bsky.feed.post/3mbaunlzdds2y"
"Bluesky","samsung","samsung","Yep. A phone issue ended my relationship with Samsung too.","2025-12-31T03:01:30.197Z","2025-12-31 03:01:30.197000+00:00","fourthlinemagic.bsky.social","2","0","at://did:plc:3qk3uqajhwciw22xh7zlj3ui/app.bsky.feed.post/3mbausqc7322j"
"Bluesky","samsung","samsung","It’s not quite six ways from Sunday, but it’s halfway there.","2025-12-31T03:14:01.827583+00:00","2025-12-31 03:14:01.827583+00:00","technology-news.bsky.social","1","0","at://did:plc:fsftz5ue2bvlvkb6zx2bqdnh/app.bsky.feed.post/3mbavj573mv2j"
"Bluesky","samsung","samsung","Samsung Electronics Co.’s Galaxy Z TriFold, a dual-folding smartphone unveiled earlier this month, is exceeding expectations, with a string of sellouts both at home and abroad. According to industry s","2025-12-31T03:22:09.857704+00:00","2025-12-31 03:22:09.857704+00:00","technology-news.bsky.social","1","0","at://did:plc:fsftz5ue2bvlvkb6zx2bqdnh/app.bsky.feed.post/3mbavxomml22k"
